Dates,Portolfio,Benchmark 
5/21/2020,100,100
5/22/2020,100.6016272,100
5/23/2020,100.6016272,100
5/24/2020,100.6016272,100
5/25/2020,100.6016272,100
5/26/2020,99.26062966,101.2376424
5/27/2020,99.076955,102.7210565
5/28/2020,98.70890907,102.537422
5/29/2020,99.42309457,102.9863145
5/30/2020,99.42309457,102.9863145
5/31/2020,99.42309457,102.9863145
6/1/2020,98.74977999,103.3892449
6/2/2020,98.3862029,104.2137615
6/3/2020,97.0565143,105.545358
6/4/2020,95.60860303,105.28111
6/5/2020,94.89628983,107.8446618
6/6/2020,94.89628983,107.8446618
6/7/2020,94.89628983,107.8446618
6/8/2020,95.28060191,109.0594911
6/9/2020,96.41647282,108.3076114
6/10/2020,97.8991818,107.7515925
6/11/2020,99.78928701,101.9855874
6/12/2020,98.82520604,103.1871004
6/13/2020,98.82520604,103.1871004
6/14/2020,98.82520604,103.1871004
6/15/2020,98.88063788,104.1178443
6/16/2020,97.3472645,106.0420383
6/17/2020,97.7600557,105.6288446
6/18/2020,98.81885747,105.6646126
6/19/2020,98.89896339,105.0925302
6/20/2020,98.89896339,105.0925302
6/21/2020,98.89896339,105.0925302
6/22/2020,98.9112637,105.7398259
6/23/2020,98.22780849,106.1971648
6/24/2020,99.30035803,103.6434587
6/25/2020,99.58866986,104.7165297
6/26/2020,100.6589834,102.3403922
6/27/2020,100.6589834,102.3403922
6/28/2020,100.6589834,102.3403922
6/29/2020,100.3442964,103.8126124
6/30/2020,99.85865054,105.0957853
7/1/2020,99.66444524,105.7940289
7/2/2020,99.76847789,106.3444614
7/3/2020,99.76847789,106.3444614
7/4/2020,99.76847789,106.3444614
7/5/2020,99.76847789,106.3444614
7/6/2020,99.35890775,107.8871885
7/7/2020,100.7645364,106.857993
7/8/2020,100.3650202,107.6219998
7/9/2020,101.9572289,107.0533393
7/10/2020,101.4547606,108.0771337
7/11/2020,101.4547606,108.0771337
7/12/2020,101.4547606,108.0771337
7/13/2020,101.7854271,107.2104857
7/14/2020,101.929235,108.507722
7/15/2020,101.462519,109.4264302
7/16/2020,101.93743,109.0953957
7/17/2020,101.7280545,109.386013
7/18/2020,101.7280545,109.386013
7/19/2020,101.7280545,109.386013
7/20/2020,101.9738354,110.1932435
7/21/2020,102.033658,110.4054124
7/22/2020,102.3325533,110.9722749
7/23/2020,103.5006732,109.7838199
7/24/2020,103.4948167,109.1377718
7/25/2020,103.4948167,109.1377718
7/26/2020,103.4948167,109.1377718
7/27/2020,103.123652,109.8641138
7/28/2020,103.8155021,109.232289
7/29/2020,103.6451682,110.4625054
7/30/2020,104.3040861,110.1074839
7/31/2020,104.2397944,110.8954249
8/1/2020,104.2397944,110.8954249
8/2/2020,104.2397944,110.8954249
8/3/2020,103.7362662,111.5888308
8/4/2020,104.6894876,111.9736539
8/5/2020,103.8152188,112.5991163
8/6/2020,104.3738045,113.2674761
8/7/2020,103.7071964,113.3405076
8/8/2020,103.7071964,113.3405076
8/9/2020,103.7071964,113.3405076
8/10/2020,103.2598378,113.6390547
8/11/2020,102.0713381,112.8122257
8/12/2020,101.1617806,114.2062096
8/13/2020,100.0928808,114.0220233
8/14/2020,99.70216521,114.0286135
8/15/2020,99.70216521,114.0286135
8/16/2020,99.70216521,114.0286135
8/17/2020,99.95344323,114.3449232
8/18/2020,100.6686303,114.5617005
8/19/2020,100.0434807,114.1421934
8/20/2020,100.9474211,114.4581492
8/21/2020,101.5466631,114.8124799
8/22/2020,101.5466631,114.8124799
8/23/2020,101.5466631,114.8124799
8/24/2020,101.3841933,115.8259492
8/25/2020,100.618802,116.1754864
8/26/2020,100.2361904,117.1752929
8/27/2020,98.53527759,117.3924343
8/28/2020,98.4608949,118.042447
8/29/2020,98.4608949,118.042447
8/30/2020,98.4608949,118.042447
8/31/2020,99.12494654,117.6815505
9/1/2020,100.2687902,118.6220093
9/2/2020,101.2207833,120.0699161
9/3/2020,101.5048984,116.6259198
9/4/2020,99.60607181,115.8097244
9/5/2020,99.60607181,115.8097244
9/6/2020,99.60607181,115.8097244
9/7/2020,99.60607181,115.8097244
9/8/2020,100.2205269,113.0753241
9/9/2020,99.95182277,115.0538732
9/10/2020,100.460093,113.3162197
9/11/2020,100.6733007,113.3694041
9/12/2020,100.6733007,113.3694041
9/13/2020,100.6733007,113.3694041
9/14/2020,100.6672792,114.6850187
9/15/2020,100.4240448,115.190003
