Dates,Portolfio,Benchmark ,,,
5/22/2020,100,99.73289136,,,
5/23/2020,99.06,98.07516222,,,
5/24/2020,97.89,95.9558046,,,
5/25/2020,96.63,94.19466726,,,
5/26/2020,97.13,96.38149901,,,
5/27/2020,97.45,98.36685812,,,
5/28/2020,98.08,99.18138212,,,
5/29/2020,98.61,100.0066287,,,
5/30/2020,99.06,99.87096988,,,
5/31/2020,100.65,99.08927817,,,
6/1/2020,99.92,97.91453775,,,
6/2/2020,101.47,99.20773525,,,
6/3/2020,100.61,98.94826098,,,
6/4/2020,101.71,100.2021024,,,
6/5/2020,101.31,99.17801663,,,
6/6/2020,101.58,98.81487671,,,
6/7/2020,101.85,98.09406029,,,
6/8/2020,101.85,98.75355423,,,
6/9/2020,102.34,96.08549329,,,
6/10/2020,102.19,97.10040384,,,
6/11/2020,102.57,97.50237411,,,
6/12/2020,100,95.33358523,,,
6/13/2020,98.45,94.6131736,,,
6/14/2020,97.02,94.44669891,,,
6/15/2020,96.57,95.61727106,,,
6/16/2020,96.67,94.34722584,,,
6/17/2020,97.69,95.67793879,,,
6/18/2020,97.66,95.66859687,,,
6/19/2020,94.48,92.46976083,,,
6/20/2020,91.3,90.85580178,,,
6/21/2020,87.94,88.8244527,,,
6/22/2020,87.77,88.6181561,,,
6/23/2020,88.72,89.17152713,,,
6/24/2020,88.81,87.07750853,,,
6/25/2020,90.96,88.69819247,,,
6/26/2020,88.62,85.88534373,,,
6/27/2020,85.02,81.5494218,,,
6/28/2020,80.68,75.93450417,,,
6/29/2020,80.99,76.53698472,,,
6/30/2020,81.18,75.17854395,,,
7/1/2020,64.58,57.70582624,,,
7/2/2020,65.29,59.50752857,,,
7/3/2020,65.26,60.31995945,,,
7/4/2020,65.24,61.25136532,,,
7/5/2020,65.53,59.65713939,,,
7/6/2020,65.39,60.1628508,,,
7/7/2020,65.25,61.17331722,,,
7/8/2020,64.76,61.05237507,,,
7/9/2020,66.04,63.604154,,,
7/10/2020,65.97,63.58895992,,,
7/11/2020,66.01,61.85642841,,,
7/12/2020,66.27,62.76985225,,,
7/13/2020,66.62,62.47835394,,,
7/14/2020,65.8,61.89907629,,,
7/15/2020,65.61,61.25379365,,,
7/16/2020,65.25,61.244329,,,
7/17/2020,64.6,58.29878228,,,
7/18/2020,63.73,58.50424901,,,
7/19/2020,62.96,57.11017976,,,
7/20/2020,63.35,57.01326426,,,
7/21/2020,63.45,57.39702849,,,
7/22/2020,64.11,58.65197694,,,
7/23/2020,64.35,59.41429812,,,
7/24/2020,64.13,60.33550888,,,
7/25/2020,63.61,61.02194253,,,
7/26/2020,63.09,61.66779129,,,
7/27/2020,63.12,61.45848387,,,
7/28/2020,64.11,61.71221062,,,
7/29/2020,64.37,62.2433016,,,
7/30/2020,64.99,63.54184826,,,
7/31/2020,73.77,71.93386334,,,
8/1/2020,83.61,80.96241256,,,
8/2/2020,95,91.35108669,,,
8/3/2020,93.61,89.43375828,,,
8/4/2020,94.67,89.49197435,,,
8/5/2020,95.34,89.24089912,,,
8/6/2020,96.31,90.70212773,,,
8/7/2020,96.27,90.06941214,,,
8/8/2020,95.81,88.76959072,,,
8/9/2020,95.85,88.10162251,,,
8/10/2020,95.48,88.82700474,,,
8/11/2020,96.54,90.46485859,,,
8/12/2020,95.08,88.27507658,,,
8/13/2020,95.53,89.54713068,,,
8/14/2020,95.98,90.23679624,,,
8/15/2020,96.36,92.65010496,,,
8/16/2020,97.04,93.52808669,,,
8/17/2020,97.71,93.91426625,,,
8/18/2020,98.71,94.60119755,,,
8/19/2020,97.94,92.82238583,,,
8/20/2020,96.83,91.51417199,,,
8/21/2020,97.73,93.84674757,,,
8/22/2020,97.23,92.97254367,,,
8/23/2020,97.3,92.95094406,,,
8/24/2020,97.05,92.32946253,,,
8/25/2020,98.45,94.43763223,,,
8/26/2020,97.4,92.63651252,,,
8/27/2020,98.03,93.94780081,,,
8/28/2020,98.23,94.73044222,,,
8/29/2020,99.58,94.19904267,,,
8/30/2020,101.12,95.42915144,,,
8/31/2020,101.97,96.7179053,,,
