Dates,Portolfio,Benchmark 
5/21/2020,100,100
5/22/2020,99.06,100
5/23/2020,97.89,100
5/24/2020,96.63,100
5/25/2020,97.13,100
5/26/2020,97.45,101.2376424
5/27/2020,98.08,102.7210565
5/28/2020,98.61,102.537422
5/29/2020,99.06,102.9863145
5/30/2020,100.65,102.9863145
5/31/2020,99.92,102.9863145
6/1/2020,101.47,103.3892449
6/2/2020,100.61,104.2137615
6/3/2020,101.71,105.545358
6/4/2020,101.31,105.28111
6/5/2020,101.58,107.8446618
6/6/2020,101.85,107.8446618
6/7/2020,101.85,107.8446618
6/8/2020,102.34,109.0594911
6/9/2020,102.19,108.3076114
6/10/2020,102.57,107.7515925
6/11/2020,100,101.9855874
6/12/2020,98.45,103.1871004
6/13/2020,97.02,103.1871004
6/14/2020,96.57,103.1871004
6/15/2020,96.67,104.1178443
6/16/2020,97.69,106.0420383
6/17/2020,97.66,105.6288446
6/18/2020,94.48,105.6646126
6/19/2020,91.3,105.0925302
6/20/2020,87.94,105.0925302
6/21/2020,87.77,105.0925302
6/22/2020,88.72,105.7398259
6/23/2020,88.81,106.1971648
6/24/2020,90.96,103.6434587
6/25/2020,88.62,104.7165297
6/26/2020,85.02,102.3403922
6/27/2020,80.68,102.3403922
6/28/2020,80.99,102.3403922
6/29/2020,81.18,103.8126124
6/30/2020,64.58,105.0957853
7/1/2020,65.29,105.7940289
7/2/2020,65.26,106.3444614
7/3/2020,65.24,106.3444614
7/4/2020,65.53,106.3444614
7/5/2020,65.39,106.3444614
7/6/2020,65.25,107.8871885
7/7/2020,64.76,106.857993
7/8/2020,66.04,107.6219998
7/9/2020,65.97,107.0533393
7/10/2020,66.01,108.0771337
7/11/2020,66.27,108.0771337
7/12/2020,66.62,108.0771337
7/13/2020,65.8,107.2104857
7/14/2020,65.61,108.507722
7/15/2020,65.25,109.4264302
7/16/2020,64.6,109.0953957
7/17/2020,63.73,109.386013
7/18/2020,62.96,109.386013
7/19/2020,63.35,109.386013
7/20/2020,63.45,110.1932435
7/21/2020,64.11,110.4054124
7/22/2020,64.35,110.9722749
7/23/2020,64.13,109.7838199
7/24/2020,63.61,109.1377718
7/25/2020,63.09,109.1377718
7/26/2020,63.12,109.1377718
7/27/2020,64.11,109.8641138
7/28/2020,64.37,109.232289
7/29/2020,64.99,110.4625054
7/30/2020,73.77,110.1074839
7/31/2020,83.61,110.8954249
8/1/2020,95,110.8954249
8/2/2020,93.61,110.8954249
8/3/2020,94.67,111.5888308
8/4/2020,95.34,111.9736539
8/5/2020,96.31,112.5991163
8/6/2020,96.27,113.2674761
8/7/2020,95.81,113.3405076
8/8/2020,95.85,113.3405076
8/9/2020,95.48,113.3405076
8/10/2020,96.54,113.6390547
8/11/2020,95.08,112.8122257
8/12/2020,95.53,114.2062096
8/13/2020,95.98,114.0220233
8/14/2020,96.36,114.0286135
8/15/2020,97.04,114.0286135
8/16/2020,97.71,114.0286135
8/17/2020,98.71,114.3449232
8/18/2020,97.94,114.5617005
8/19/2020,96.83,114.1421934
8/20/2020,97.73,114.4581492
8/21/2020,97.23,114.8124799
8/22/2020,97.3,114.8124799
8/23/2020,97.05,114.8124799
8/24/2020,98.45,115.8259492
8/25/2020,97.4,116.1754864
8/26/2020,98.03,117.1752929
8/27/2020,98.23,117.3924343
8/28/2020,99.58,118.042447
8/29/2020,101.12,118.042447
8/30/2020,101.97,118.042447
8/31/2020,101.03,117.6815505
9/1/2020,102.74,118.6220093
9/2/2020,101.89,120.0699161
9/3/2020,96.97,116.6259198
9/4/2020,91.99,115.8097244
9/5/2020,85.52,115.8097244
9/6/2020,87.1,115.8097244
9/7/2020,87.11,115.8097244
9/8/2020,85.96,113.0753241
9/9/2020,86.58,115.0538732
9/10/2020,86.75,113.3162197
9/11/2020,87.37,113.3694041
9/12/2020,89.32,113.3694041
9/13/2020,89.67,113.3694041
9/14/2020,90.42,114.6850187
9/15/2020,88.28,115.190003
9/16/2020,88.7,114.7919606
9/17/2020,88.28,113.914078
9/18/2020,87.32,112.7640449
9/19/2020,86.24,112.7640449
9/20/2020,85.56,112.7640449
9/21/2020,82.8,111.6474362
9/22/2020,83.69,112.6684653
9/23/2020,81.73,110.3458415
9/24/2020,83.87,110.6130929
9/25/2020,87.24,112.2328305
9/26/2020,91.18,112.2328305
9/27/2020,95.12,112.2328305
9/28/2020,99.06,113.8940048
9/29/2020,99.72,113.3449177
9/30/2020,100.33,114.1032494
10/1/2020,99.89,114.7502422
10/2/2020,98.6,113.7991106
10/3/2020,97.58,113.7991106
10/4/2020,98.24,113.7991106
10/5/2020,98.76,115.5739451
10/6/2020,96.9,114.148906
10/7/2020,95.04,115.8915953
10/8/2020,96.14,116.7739674
10/9/2020,98.37,117.6679155
10/10/2020,100.6,117.6679155
10/11/2020,100.91,117.6679155
10/12/2020,97.3,119.2806131
10/13/2020,95.43,118.6282074
10/14/2020,96.06,117.9967747
10/15/2020,95.79,117.8760401
10/16/2020,94.43,117.8124188
10/17/2020,93.15,117.8124188
10/18/2020,93.58,117.8124188
10/19/2020,93.14,116.2909011
10/20/2020,93.24,116.6917027
10/21/2020,95.6,116.5049793
10/22/2020,95.99,117.0532957
10/23/2020,96.41,117.3933226
10/24/2020,97.22,117.3933226
10/25/2020,96.76,117.3933226
10/26/2020,96.04,115.5454965
10/27/2020,97.01,115.2002422
10/28/2020,93.02,111.7814946
10/29/2020,93.54,112.796723
10/30/2020,92.27,111.7581971
10/31/2020,91.28,111.7581971
11/1/2020,90.29,111.7581971
11/2/2020,90.83,112.8753264
11/3/2020,93.94,114.6429862
11/4/2020,98.85,116.8799755
11/5/2020,105.13,118.8299079
11/6/2020,112.7,118.8046586
11/7/2020,118.76,118.8046586
11/8/2020,121.02,118.8046586
11/9/2020,117.87,120.0611304
11/10/2020,114.61,119.917712
11/11/2020,117.09,120.6545673
11/12/2020,116.66,119.6875452
11/13/2020,118.68,121.0708702
11/14/2020,120.23,121.0708702
11/15/2020,120.93,121.0708702
11/16/2020,123.11,122.3180147
11/17/2020,123.38,121.7813967
11/18/2020,121.37,120.5797536
11/19/2020,121.78,121.0017207
11/20/2020,122.68,120.3158157
11/21/2020,124.65,120.3158157
11/22/2020,125,120.3158157
11/23/2020,125.79,120.9131278
11/24/2020,130.01,122.5274277
11/25/2020,128.92,122.369171
11/26/2020,125.46,122.369171
11/27/2020,123.21,122.6496075
11/28/2020,122.09,122.6496075
11/29/2020,123.33,122.6496075
11/30/2020,124.85,122.2058115
12/1/2020,125.24,123.2988745
12/2/2020,127.15,123.510291
12/3/2020,128.38,123.4861801
12/4/2020,127.9,124.348353
12/5/2020,128.42,124.348353
12/6/2020,128.74,124.348353
12/7/2020,126.58,124.1391355
12/8/2020,125.41,124.4326541
12/9/2020,121.04,123.5367573
12/10/2020,121.21,123.5066241
12/11/2020,120.22,123.386055
12/12/2020,120.41,123.386055
12/13/2020,121.84,123.386055
12/14/2020,122.44,122.9394109
12/15/2020,126.23,124.2914177
12/16/2020,130.23,124.446948
12/17/2020,132.13,125.0083766
12/18/2020,134.67,124.6045042
12/19/2020,138.67,124.6045042
12/20/2020,138.56,124.6045042
12/21/2020,136.32,124.2526645
12/22/2020,137.03,124.0791157
12/23/2020,134.79,124.1690384
12/24/2020,134.79,124.5583532
12/25/2020,136,124.5583532
12/26/2020,138.19,124.5583532
12/27/2020,138.56,124.5583532
12/28/2020,141.25,125.4174905
12/29/2020,141.5,125.2281974
12/30/2020,144.56,125.3704365
12/31/2020,147.62,125.8794026
1/1/2021,150.42,125.8794026
1/2/2021,155.01,125.8794026
1/3/2021,157.34,125.8794026
1/4/2021,155.88,124.5192189
1/5/2021,158.55,125.205704
1/6/2021,159.53,125.8045064
1/7/2021,162.37,127.289655
1/8/2021,165.21,127.8587606
1/9/2021,171.77,127.8587606
1/10/2021,171.47,127.8587606
1/11/2021,166.37,127.183163
1/12/2021,167.71,127.2064175
1/13/2021,169.66,127.4737816
1/14/2021,172.18,127.1259757
1/15/2021,171.56,126.398851
1/16/2021,170.58,126.398851
1/17/2021,170.07,126.398851
1/18/2021,171.5,126.398851
1/19/2021,172.74,127.1840379
1/20/2021,174.94,128.5677589
1/21/2021,171.4,128.6595125
1/22/2021,168.64,128.3042931
1/23/2021,165.5,128.3042931
1/24/2021,165.81,128.3042931
1/25/2021,165.65,128.6952774
1/26/2021,164.94,128.5406383
1/27/2021,161.79,126.0969969
1/28/2021,164.59,126.9554669
1/29/2021,165.72,124.9558167
1/30/2021,166.8,124.9558167
1/31/2021,166.36,124.9558167
2/1/2021,168.22,126.6214919
2/2/2021,170.24,128.0316733
2/3/2021,172.32,128.1124534
2/4/2021,171.33,129.2482274
2/5/2021,172.2,129.6415691
2/6/2021,173.07,129.6415691
2/7/2021,173.94,129.6415691
2/8/2021,179.68,130.3627093
2/9/2021,181.5,130.3006956
2/10/2021,181.25,130.2555667
2/11/2021,183.29,130.4135891
2/12/2021,186,130.9094476
2/13/2021,190.66,130.9094476
2/14/2021,190.28,130.9094476
2/15/2021,189.67,130.9094476
2/16/2021,191,130.8253433
2/17/2021,191.89,130.84779
2/18/2021,189.66,130.4213986
2/19/2021,193.74,130.246731
2/20/2021,197.06,130.246731
2/21/2021,197.87,130.246731
2/22/2021,195.53,129.4734624
2/23/2021,193.19,129.5986046
2/24/2021,192.99,130.7007521
2/25/2021,188.49,128.290098
2/26/2021,183.99,127.7718738
2/27/2021,177.34,127.7718738
2/28/2021,176.32,127.7718738
3/1/2021,181.14,130.1970634
3/2/2021,181,129.4172261
3/3/2021,179.76,128.0901957
3/4/2021,175.5,126.8549865
